"word1","word2","freq"
"last","year",96
"new","york",86
"right","now",80
"last","week",67
"years","ago",60
"feel","like",59
"high","school",59
"first","time",54
"dont","know",53
"make","sure",51
"even","though",50
"im","going",45
"cant","wait",44
"last","night",43
"united","states",43
"can","get",40
"new","jersey",40
"dont","want",39
"two","years",39
"st","louis",37
"dont","think",36
"little","bit",36
"san","francisco",36
"every","day",35
"next","year",35
"look","like",34
"im","sure",33
"looking","forward",32
"looks","like",32
"one","day",32
"said","“",32
"many","people",31
"los","angeles",30
"two","weeks",28
"will","take",28
"years","old",28
"can","see",27
"health","care",27
"will","get",27
"-","-",26
"last","years",26
"next","week",26
"one","thing",26
"san","diego",26
"pretty","much",25
"long","time",24
"social","media",24
"city","council",23
"don’t","know",23
"good","luck",23
"one","time",23
"three","years",23
"every","time",22
"last","month",22
"last","time",22
"vice","president",22
"will","continue",22
"can","make",21
"come","back",21
"happy","birthday",21
"just","like",21
"let","know",21
"super","bowl",21
"will","never",21
"can","use",20
"get","back",20
"go","back",20
"people","will",19
"sounds","like",19
"year","old",19
"just","one",18
"know","im",18
"next","time",18
"weeks","ago",18
"just","say",17
"mothers","day",17
"officials","said",17
"seems","like",17
"didnt","know",16
"good","morning",16
"good","thing",16
"im","gonna",16
"let","go",16
"many","things",16
"many","times",16
"new","year",16
"one","best",16
"really","good",16
"thanks","follow",16
"will","able",16
"anything","else",15
"can","find",15
"can","say",15
"cant","believe",15
"dont","even",15
"felt","like",15
"five","years",15
"good","job",15
"great","day",15
"im","just",15
"much","better",15
"much","time",15
"school","district",15
"state","university",15
"wall","street",15
"will","also",15
"will","go",15
"anyone","else",14
"can","help",14
"can","take",14
"chief","executive",14
"dont","like",14
"executive","director",14
"follow","back",14
"im","really",14
"last","season",14
"last","summer",14
"one","first",14
"pretty","good",14
"something","else",14
"th","street",14
"think","can",14
"three","times",14
"want","see",14
"will","always",14
"will","make",14
"will","probably",14
"year","ago",14
"-","pm",13
"can","keep",13
"couple","days",13
"didnt","get",13
"feel","free",13
"feels","like",13
"four","years",13
"going","get",13
"id","like",13
"just","got",13
"least","one",13
"let","us",13
"look","forward",13
"police","officers",13
"someone","else",13
"take","care",13
"time","get",13
"time","since",13
"time","year",13
"trying","get",13
"white","house",13
"will","see",13
"youve","got",13
"’m","going",12
"’s","just",12
"attorney","general",12
"can","go",12
"can","hear",12
"cant","get",12
"day","day",12
"dont","get",12
"getting","ready",12
"good","day",12
"good","news",12
"im","still",12
"ive","ever",12
"join","us",12
"just","want",12
"many","years",12
"maria","maria",12
"months","ago",12
"need","get",12
"now","can",12
"one","favorite",12
"one","person",12
"really","want",12
"six","months",12
"spend","time",12
"take","advantage",12
"take","place",12
"things","like",12
"two","days",12
"want","get",12
"-","lead",11
"’s","good",11
"’ve","never",11
"best","friend",11
"board","members",11
"can","put",11
"didnt","want",11
"early","s",11
"even","better",11
"even","know",11
"every","night",11
"every","year",11
"first","year",11
"get","enough",11
"going","back",11
"good","time",11
"great","job",11
"help","us",11
"just","get",11
"just","saw",11
"looked","like",11
"lot","people",11
"makes","sense",11
"next","day",11
"now","’s",11
"now","im",11
"one","can",11
"police","said",11
"put","together",11
"said","im",11
"salt","pepper",11
"second","time",11
"something","like",11
"th","century",11
"time","time",11
"wait","see",11
"way","get",11
"will","find",11
"young","man",11
"’d","like",10
"’m","sure",10
"another","day",10
"bay","area",10
"best","way",10
"can","imagine",10
"christmas","tree",10
"city","hall",10
"didnt","think",10
"federal","government",10
"feel","better",10
"first","half",10
"first","quarter",10
"first","thought",10
