"word1","word2","word3","freq"
"maria","maria","maria",11
"cant","wait","see",9
"first","time","since",9
"new","york","city",9
"two","years","ago",9
"-","-","-",8
"cinco","de","mayo",8
"happy","mothers","day",8
"two","weeks","ago",8
"past","two","years",7
"amazon","services","llc",6
"im","sure","will",6
"let","us","know",6
"new","york","times",6
"president","barack","obama",6
"-","-","—",5
"ha","ha","ha",5
"happy","new","year",5
"miles","per","hour",5
"president","chief","executive",5
"president","george","w",5
"several","years","ago",5
"st","charles","county",5
"st","louis","county",5
"think","like","man",5
"thinking","thinking","thinking",5
"-","pm","et",4
"almost","every","day",4
"ass","ass","ass",4
"can’t","get","enough",4
"didnt","even","know",4
"district","court","judge",4
"dont","even","know",4
"dont","feel","like",4
"east","th","street",4
"felt","like","needed",4
"george","w","bush",4
"gov","john","kitzhaber",4
"heat","olive","oil",4
"high","school","college",4
"high","school","students",4
"im","looking","forward",4
"lets","just","say",4
"nay","dont","want",4
"new","immigration","law",4
"please","let","us",4
"preheat","oven","degrees",4
"said","news","conference",4
"st","patricks","day",4
"want","make","sure",4
"will","get","back",4
"winner","will","chosen",4
"world","war","ii",4
"-yard","field","goal",3
"’s","first","time",3
"“","”","subject",3
"“","don’t","know",3
"”","said","“",3
"”","subject","change",3
"advertising","fees","advertising",3
"advertising","linking","amazoncom",3
"amazon","eu","associates",3
"amazon","eu","content",3
"amazonca","amazoncouk","amazonde",3
"amazoncom","amazonca","amazoncouk",3
"amazoncouk","amazonde","amazonfr",3
"amazonde","amazonfr","amazonit",3
"amazones","certain","content",3
"amazonfr","amazonit","amazones",3
"amazonit","amazones","certain",3
"andor","amazon","eu",3
"appears","website","comes",3
"associates","programmes","designed",3
"attorney","general","eric",3
"averaging","million","viewers",3
"better","luck","next",3
"can","make","difference",3
"cant","go","back",3
"carbohydrate","g","fat",3
"certain","content","appears",3
"change","removal","time",3
"cholesterol","mg","sodium",3
"coach","mike","brown",3
"come","join","us",3
"comes","amazon","services",3
"congressional","record","vol",3
"content","appears","website",3
"content","provided","“",3
"cost","per","person",3
"couple","weeks","ago",3
"daily","record","pp",3
"department","public","health",3
"designed","provide","means",3
"director","new","jersey",3
"done","good","job",3
"earn","advertising","fees",3
"easter","egg","hunt",3
"end","last","year",3
"eu","associates","programmes",3
"eu","content","provided",3
"every","day","said",3
"every","two","years",3
"fat","g","saturated",3
"feel","like","’m",3
"feel","like","can",3
"fees","advertising","linking",3
"first","time","ever",3
"five","years","ago",3
