"word1","freq"
"said",1509
"will",1341
"one",1291
"just",1096
"like",1038
"can",1004
"time",945
"get",824
"new",816
"people",686
"im",678
"now",647
"also",634
"good",630
"day",603
"know",601
"first",595
"back",594
"us",594
"year",547
"two",543
"last",536
"make",520
"think",520
"going",514
"well",511
"love",500
"much",490
"dont",487
"even",470
"go",468
"years",459
"see",455
"really",449
"want",446
"way",444
"’s",441
"work",426
"-",414
"right",406
"made",404
"still",397
"great",396
"got",393
"many",388
"life",382
"take",376
"say",374
"little",369
"“",352
"something",352
"may",331
"today",329
"need",323
"state",319
"next",317
"things",313
"around",307
"—",302
"come",300
"–",295
"school",295
"never",293
"week",293
"since",292
"home",291
"world",291
"every",286
"always",283
"lot",277
"best",275
"better",275
"game",275
"another",271
"long",267
"big",262
"three",262
"look",261
"use",260
"thats",256
"family",255
"place",249
"cant",247
"night",246
"feel",244
"thing",243
"help",242
"house",242
"says",242
"city",237
"find",237
"days",233
"didnt",229
"sure",229
"end",225
"thanks",224
"used",223
"give",217
"getting",216
"might",215
"though",213
"man",209
"show",209
"told",209
"keep",207
"away",204
"happy",203
"old",203
"put",202
"part",201
"play",201
"season",201
"book",198
"left",197
"let",197
"team",197
"without",197
"enough",195
"hope",195
"u",194
"found",191
"took",191
"done",190
"pm",190
"high",189
"thought",189
"came",188
"youre",188
"bit",186
"money",186
"went",185
"top",184
"ever",183
"run",183
"th",183
"million",179
"st",179
"start",179
"morning",178
"rt",177
"friends",176
"read",176
"looking",175
"public",173
"yet",173
"ive",170
"food",169
"police",169
"someone",169
"already",168
"anything",168
"set",168
"hard",167
"percent",164
"everyone",163
"point",163
"second",163
"small",163
"called",161
"live",159
"story",158
"try",158
"children",156
"free",156
"making",156
"pretty",156
"tell",155
"far",154
"god",154
"hes",154
"job",154
"kids",154
"lol",154
"together",154
"company",153
"don’t",153
"fun",153
"least",153
"minutes",153
"wanted",153
"’m",152
"county",152
"ill",152
"white",152
"water",151
"makes",150
"times",150
"able",149
"friday",149
"please",149
"thank",148
"different",147
"trying",147
"young",147
"course",146
"real",146
"ago",145
"kind",144
"follow",143
"person",143
"must",142
"call",141
"four",141
"others",141
"care",140
"room",140
"actually",139
"past",139
"tonight",139
"working",139
"business",138
"nothing",138
"including",137
"started",137
"add",136
"less",136
"name",136
"along",135
"bad",134
"doesnt",134
"maybe",134
"president",134
"”",133
"change",133
"everything",133
"national",133
"several",133
"yes",133
"coming",132
"early",132
"side",132
"’ve",131
"s",131
"soon",131
"weeks",131
"group",130
"later",129
"open",129
"post",129
"blog",127
"idea",127
"whole",126
"black",125
"area",124
"full",124
"heart",124
"nice",124
"often",124
"become",123
"believe",123
"office",123
"saw",123
"using",123
"music",122
"oh",122
"law",121
"government",120
"health",120
"however",120
"states",120
"system",120
"car",119
"hand",119
"mind",119
"months",119
"service",119
"almost",118
"case",118
"couple",118
"head",118
"month",118
"friend",117
"games",117
"center",116
"community",116
"fact",116
"five",116
"moment",116
"number",116
"ready",116
"red",116
"weekend",116
"summer",115
"talk",115
"hit",114
"line",114
"move",114
"plan",114
"probably",114
"knew",113
"remember",113
"comes",112
"anyone",111
"news",111
"film",110
"needs",110
"asked",109
"important",109
"local",109
"stop",109
"else",108
"john",108
"road",108
"street",108
"college",107
"reading",107
"six",107
"watch",107
"bring",106
"face",106
"favorite",106
"heard",106
"means",106
"seen",106
"party",105
"power",105
"true",105
"across",104
"guy",104
"pay",104
"former",103
"given",103
"late",103
"sometimes",103
"support",103
"taking",103
"wait",103
"according",102
"behind",102
"board",102
"guys",102
"american",101
"bill",101
"hear",101
"hours",101
"information",101
"leave",101
"special",101
"stay",101
"project",100
"reason",100
"’re",99
"half",99
"matter",99
"theyre",99
"win",99
"lost",98
"mean",98
"thinking",98
"words",98
"amazing",97
"books",97
"court",97
"decided",97
"human",97
"light",97
